播主昵称,达人详情链接,抖音号,播主粉丝数,视频标题,发布时间,视频时长,传播指数,点赞,评论,分享,收藏,播放,热词,视频详情链接,视频链接
宁教,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=62895515&tab=&ts=1719989024&sign=1e04296c3bed58220919794c1f48c386,Ningjiao368,14202,#驾考宝典 #教练 #考驾照 #科目二   这个时候让我想起了上一批毕业的大学生啦,2024/6/28 20:42:05,25秒,94.9,356841,21150,246015,8950,8179970,"教练,考驾照,学车,驾校,广西,驾照,练车,许光汉,好帅,教我,报名,老头,宕机,调皮,九转,大肠,巧克力,帅的,我去,感觉,OK,喜欢,重考,想谈,帅哥,在哪,完了,情绪稳定,能不能,发呆",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385533484514708736&dateCode=20240628&ts=1719989024&sign=29c51d036ae52d76062afd04e8d0033d,https://www.douyin.com/share/video/7385533484514708736/?mid=
老鸭好卡,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=63235367&tab=&ts=1719989024&sign=dfe425554b90c2c2172476ba34c53649,dollarsduck250,18987,"暑假了，注意用电安全哦👌
#第五人格卢卡 #第五人格 #第五玩家拯救世界 #二创 #第五人格心跳特辑",2024/6/27 22:13:22,6秒,94.9,466018,23516,86043,51251,4644372,"卢卡,好可爱,OK,宕机,笑死我了,宝宝,老师,九转,大肠,被电,好萌,孩子,评论区,囚徒,大王,电击小子,触电,眼含,热泪,猪头,银球,隐囚,ky,调皮,教程,达西,让我,的狗,好像,AAA",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385185931810114842&dateCode=20240627&ts=1719989024&sign=99358038a69eca77bb53e77a89612b36,https://www.douyin.com/share/video/7385185931810114842/?mid=
悟空探影,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=27032248&tab=&ts=1719989024&sign=85518aa8c1d7ca84fc32c829d24f51c9,alexen181,100560,一口气看完这部看后无不落泪的电影 #我在抖音看电影 #一剪到底 #爱国 #一口气看完系列,2024/6/26 18:16:46,18分4秒,94.9,223658,8756,25121,13787,12647842,"电影,烈士陵园,看了,刷到,连长,蒙生,倪大红,中国,看过,四爷,董卓,好电影,诸葛亮,花环,开来,哭了,雷军,的人,看一遍,都会,眼睛,高山,人民,司马懿,贵妇人,战争,儿子,眼泪,百看不厌,英雄",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384753828689759507&dateCode=20240626&ts=1719989024&sign=14467e369834eaf63acb6214e4abd595,https://www.douyin.com/share/video/7384753828689759507/?mid=
酒星,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=62468814&tab=&ts=1719989024&sign=cc8254b5086cf84d4e642d515b58acc9,62666235528,31673,#疯狂陀螺游戏 #玩点很新的东西 #旋转陀螺,2024/6/29 18:57:19,1分5秒,94.9,259993,31448,430908,13927,16275600,"陀螺,发呆,好帅,特效,宕机,动画片,异火,心火,青莲,火焰,卧槽,飓风战魂,琉璃,莲心,我去,牛逼,是真的,红色,OK,想玩,九转,大肠,好玩,太帅了,燃起来了,萧炎,领域展开,好看,火力少年王,男人",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385877561848466688&dateCode=20240629&ts=1719989024&sign=27ea964bbeb7d8c465082667dfdaf7af,https://www.douyin.com/share/video/7385877561848466688/?mid=
real_lhxxx,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=41592374&tab=&ts=1719989024&sign=465a07f8785fe5dba3449fd48aaa4256,82953572643,77368,原来思念也有生命 有呼吸 有你,2024/6/28 21:37:40,,94.8,209560,5774,37842,15548,3919667,"冰箱,我家,吊带,思念,全是,宝宝,呼吸,链接,都是,生命,剩菜,感觉,也有,好看,有你,好像,赵露思,拍的,姐姐,调皮,OK,老婆,宕机,九转,大肠,给你,只能,不行,给我,适合",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385547807446371636&dateCode=20240628&ts=1719989024&sign=6e4d4dd285a8d5cf100a9bd7bf7c6065,https://www.douyin.com/share/video/7385547807446371636/?mid=
木姜子酱,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=64808842&tab=&ts=1719989024&sign=ce6275d7e3b41379807c542031d30634,97040991428,13012,跟我学英文版#搁浅翻唱 #搁浅的猎奇唱法#真有人唱了sheyoungyoung #周杰伦搁浅,2024/6/27 17:13:39,39秒,94.8,323311,32191,567880,14196,22956291,"外国人,宕机,英文,搁浅,听懂,中文,发呆,英语,歌词,周杰伦,感觉,九转,大肠,老外,OK,英文歌,chain,girl,翻译,黑伦,疑问,好像,ing,Jay,牛逼,old,gee,读完,word,中国人",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385108669215624459&dateCode=20240627&ts=1719989024&sign=3e27401bfaaf68f77fe231bfb1704053,https://www.douyin.com/share/video/7385108669215624459/?mid=
机车-擎掣,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=51088988&tab=&ts=1719989024&sign=bff9995dc5253efc466c5114c747648f,JCQC0829,56750,这八字属实硬#危险动作请勿模仿,2024/6/27 12:51:44,15秒,94.8,298214,27959,366356,6929,9501898,"发呆,宕机,牛逼,警车,八字,头盔,OK,哥们,九转,大肠,我去,全体起立,自行车,惊恐,卧槽,祖宗,警察,疑问,nb,路人,钻过去,逆天,暗中观察,摆头,电影,重要性,摩托车,我靠,阎王,撤回",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385041205706378547&dateCode=20240627&ts=1719989024&sign=66b253c0f5cbbf34f3139a62d4a00430,https://www.douyin.com/share/video/7385041205706378547/?mid=
38547859809,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=64739240&tab=&ts=1719989024&sign=f4296ac96c5147ca0eda7e60dd5e5111,38547859809,78909,#小猫是平淡生活的解药,2024/6/28 21:48:59,7秒,94.8,244289,5910,60206,27833,7123497,,https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385550739076107555&dateCode=20240628&ts=1719989024&sign=574bfd817ed8ef795cb1e03fe37e2881,https://www.douyin.com/share/video/7385550739076107555/?mid=
林优漫剪,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=19514468&tab=&ts=1719989024&sign=30ba275f104d879256fa5785f9bb4db1,LINYOUMANJIAN,108316,"『帅的根本不在一个图层』
#蜡笔小新 #远昼创意
@新川漫剪",2024/7/1 13:15:50,17秒,94.8,221102,11936,46415,12601,3585781,"好帅,小新,蜡笔小新,宕机,OK,我去,表哥,发呆,人物,这是,堂哥,帅哥,帅的,没见过,感觉,看过,猪头,喜欢,真的帅,风间,真帅,画风,看了,不知道,调皮,九转,大肠,记得,帅啊,印象",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386531735359458569&dateCode=20240701&ts=1719989024&sign=032b1d417b8adc6e88b117b506606f5a,https://www.douyin.com/share/video/7386531735359458569/?mid=
橘小白,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=58805845&tab=&ts=1719989024&sign=d40487114dcea5257c0c6c45b2b3cb32,41465324086,21574,虽然你俩天天吵架，但是有你们的日子我很幸福很快乐#吵架猫 #猫咪的迷惑行为 #萌宠出道计划,2024/6/27 20:13:06,1分21秒,94.8,312732,43255,203254,12278,9255067,"吵架,猫条,白猫,化妆,笑死我了,橘猫,大橘,大白,笑死了,小白,假装,九转,大肠,pk,笑死,好可爱,宕机,打架,三花,没眼看,演戏,两只猫,猫猫,PK,圈点,吃的,主播,绝育,博主,有没有",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385154929800842537&dateCode=20240627&ts=1719989024&sign=ea04afeec0f0047b7332aabc141f96d3,https://www.douyin.com/share/video/7385154929800842537/?mid=
zay of candy,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=24199054&tab=&ts=1719989024&sign=3e02ad9df8ed7ed6c962e969e92e5508,zay761193084,39717,暴雨过后武汉出现了世纪晚霞，我猜 你又错过了 #武汉 #世纪晚霞 #武汉旅游攻略 #武汉美好推荐官 #内容启发搜索,2024/6/29 20:14:56,7秒,94.8,219957,21541,157368,8250,8428430,"武汉,晚霞,火烧云,好看,拍的,拍到,好美,好好看,错过了,意味着,学校,发呆,不出门,也有,行千里,宝宝,上岸,天空,OK,没看见,感谢,宕机,赶上,朝霞,调皮,苏醒,我去,暴雨,下雨,这是",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385897571434204416&dateCode=20240629&ts=1719989024&sign=db83d54046fc1b0804e2edac6bc34a15,https://www.douyin.com/share/video/7385897571434204416/?mid=
酷酷的娱,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=10831333&tab=&ts=1719989024&sign=bc576076d141caf3615292c948ec515f,YLRD8899,810771,在整个食物界 土豆的确是才华横溢 #土豆 #美味,2024/6/26 18:56:50,19秒,94.7,616554,82833,829145,22491,26636422,"土豆,好吃,土豆丝,吃土豆,姜丝,学校,难吃,土豆泥,豆门,喜欢,做的,学校食堂,老实,不喜欢,食堂,土豆块,OK,永存,不爱,食物,洋芋,土豆片,九转,大肠,讨厌,做的不好,薯条,宕机,不吃,调皮",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384764139282894092&dateCode=20240626&ts=1719989024&sign=9ac0912ffc25080dca3b075c90ed046d,https://www.douyin.com/share/video/7384764139282894092/?mid=
桃气小姨妈,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=35382420&tab=&ts=1719989024&sign=5f9545c5f731d195b1e30bb22f365eb3,62790052960,725477,听完再也不会长#恋爱脑 了。#刘亦菲 #女性成长 #恋爱 #爱自己 #玫瑰的故事,2024/7/1 22:16:13,31秒,94.7,418967,11087,153479,55843,8983586,"爱自己,被爱,幸福,的人,喜欢,事与愿违,安排,感觉,发生,有利于,恋爱,爱情,男人,女性,接受,不想,谈恋爱,便是,爱你,人生,都是,希求,遇见,爱我,一个人,一生,感情,最重要,主持,爱人",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386670869604502799&dateCode=20240701&ts=1719989024&sign=93c96eb10ce8a4f07a678f7450e22d19,https://www.douyin.com/share/video/7386670869604502799/?mid=
剧酱,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=8829925&tab=&ts=1719989024&sign=876c781fad9f501ac6d4974d137f82eb,jjjujiang,1220809,中华历史又多了3000年，同学们准备好了吗#历史 #娱乐评论大赏 @DOU+小助手,2024/6/27 13:23:24,24秒,94.7,333868,12107,43707,15909,8799957,"历史,宕机,毕业了,历史书,学历史,OK,朝代,毕业,九转,大肠,山海经,挖到,没毕业,还好,唐尧虞舜,老祖宗,中国,挖出来,证明,盘古,考古,挖出,学生,文字,有福,近代史,文明,能不能,专业,神话",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385049286343544114&dateCode=20240627&ts=1719989024&sign=b2249f5483ba6df65dc9ec5410af57e0,https://www.douyin.com/share/video/7385049286343544114/?mid=
皮蛋Solo粥,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=40608872&tab=&ts=1719989024&sign=da81f1eda3e98a7da233008e5e80388b,XYplayGuitar,49065,皮筋版山东车牌之歌 #山东车牌之歌 #全网呼叫山东人,2024/6/28 15:01:22,8秒,94.7,535092,54738,536410,35490,40463625,"山东,闷闷,山东人,男厕,橛子,老百姓,泰安,有钱,撸狗,没钱,在乎,过活,车牌,秋秋,游戏人间,列队,郑智化,球球,不分,人民,济南,皮筋,世界,九转,大肠,宕机,拿豆,OK,啰嗦,开心就好",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385445635354397988&dateCode=20240628&ts=1719989024&sign=4fc502da45d0072cd969dad3a37d8df3,https://www.douyin.com/share/video/7385445635354397988/?mid=
汤圆丸子,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=45711145&tab=&ts=1719989024&sign=a37f06f45e0cc6e6d835dcadf6406f19,66655865849,41502,闻到花香也是一种奢侈呢… #脑外伤后遗症 #我的住院日记 #我的人间记录 #碎碎念 #记录真实生活,2024/6/28 6:29:09,7秒,94.7,221977,13104,34345,4085,6730582,"请假,理由,好好活着,抱抱,早日康复,活着,宝宝,好朋友,出院,休息,我可以,自有妙计,用不着,你别,康复,健康,我有,好好的,给我,希望,辞职,朋友,你好,健健康康,上班,旷工,不准,办法,没事,老板",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385313573049830693&dateCode=20240628&ts=1719989024&sign=27ff35dc07bcc7f896f39671758e33f9,https://www.douyin.com/share/video/7385313573049830693/?mid=
鱼仔笨笨车,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=59336090&tab=&ts=1719989024&sign=c3c0fab7e05f5264a2eb732741a898f2,70929885894,109429,还得是扭扭车，依旧那么潇洒飘逸 #骑行 #扭扭车,2024/6/26 20:09:00,10分6秒,94.7,160557,6147,131514,9239,11902081,"想玩,好玩,爱看,好看,好好玩,减速带,扭扭车,感觉,比赛,尾流,闷闷,宕机,看着,破风,发呆,脚刹,九转,大肠,老哥,硬控,下坡,刹车,男人,秋秋,OK,刷到,这是,有意思,男生,是真的",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384782800597028106&dateCode=20240626&ts=1719989024&sign=0d1c1cc3c9b258afcda70d1f73d8f54f,https://www.douyin.com/share/video/7384782800597028106/?mid=
二🏸️,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=37620059&tab=&ts=1719989024&sign=026eac3c2aa9d9dac279ad75f9a3c283,si17726,45759,跟打羽毛球的女生在一起超级幸福 #羽毛球 #打羽毛球女生 #甜妹 #体育生,2024/6/27 11:40:20,11秒,94.6,226607,17864,67713,8306,4463970,"球拍,嫁妆,姐姐,拍子,见过,喜欢,入赘,OK,老婆,发呆,女孩,宕机,彩礼,能不能,结婚,性别,不谈,漂亮的,最美,宝宝,羽毛球,想要,给我,抛开,女人,川崎,可以吗,拿下,调皮,这是",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385022770758946088&dateCode=20240627&ts=1719989024&sign=99e38dc49f1b7528d2203e8e9d6e51f1,https://www.douyin.com/share/video/7385022770758946088/?mid=
pennyum_^^,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=40054224&tab=&ts=1719989024&sign=36d2c41e786e147ab31f3fa5b7a33ac1,pennn77491,5043,"音乐会开场前光启五位亲自录的演出前温馨提示/因为有点突然所以前面一段11和77的没有录到见谅
#光与夜之恋 #光与夜之恋音乐会 #光与夜之恋三周年 #音乐现场 #乙游",2024/6/30 8:40:04,34秒,94.6,504205,36397,102135,41673,6859032,"不想,羡慕,没事,嫉妒,光头,我去,很想,上海,发出,跳楼,音乐会,OK,包听,逞强,落泪,老公,啊啊啊啊,听话,声音,眼含,热泪,宕机,九转,大肠,听到,哭了,没去,发呆,好啊,感觉",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386089589259193636&dateCode=20240630&ts=1719989024&sign=f06f8106f4e816c4fcc46b1b62150fa6,https://www.douyin.com/share/video/7386089589259193636/?mid=
阿呆gua,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=55981256&tab=&ts=1719989024&sign=8c4188b84a1f440698444d9f32dd20d0,20974018315,21708,艾特你的沙雕好友来看 #搞笑视频 #专业动作请勿模仿,2024/6/28 15:34:17,1分,94.6,398110,20013,360799,21022,9063118,"OK,佛祖,笑死我了,佛说,正片,宕机,看到最后,功德,广告,ing,还好,九转,大肠,女朋友,发呆,用户,讨厌,不行,生性,多疑,分享,笑死了,大王,好友,视频,喜欢,艾特,转发给,小猫,爱吃",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385454146905771273&dateCode=20240628&ts=1719989024&sign=36d6513c77606fb980f8ec49453d0911,https://www.douyin.com/share/video/7385454146905771273/?mid=
娱乐深扒君,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=21380008&tab=&ts=1719989024&sign=ab42239ebb9df6f35b33266436c624e7,yuleshenba,134083,要不说人类是最抽象的物种呢#娱乐评论大赏 #精神状态belike #人类迷惑行为,2024/6/28 22:30:00,23秒,94.6,164579,57571,235262,4795,6277405,"睡不着,大肠,九转,宕机,OK,天亮了,睡觉,起床,刷抖音,收拾,小时,海底捞,吃了,爬起来,上班,发现,房间,睡不着了,调皮,抖音,大行,躺平,打王者,暗中观察,不想,老实,睡了,衣服,睡着了,出门",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385479263585062178&dateCode=20240628&ts=1719989024&sign=1856de2747b68219bd1d9da79b69e117,https://www.douyin.com/share/video/7385479263585062178/?mid=
喝不喝拿铁.,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=32974577&tab=&ts=1719989024&sign=f9e44ef529d95e15b0ca1662f8abd9bd,Nananatie_,10060,暴雨过后的西湖晚霞！！！美哭我了啊啊啊啊啊啊#想看看你拍到的绝美晚霞 #杭州西湖,2024/7/2 20:57:19,8秒,94.5,508578,20260,400186,13219,10742991,"西湖,好美,上岸,好看,所愿,我去,晚霞,拍的,所得,猪头,感谢,杭州,好好看,宝宝,顺利,你看,暴雨,拍到,日出,宕机,给你,好漂亮,蜜蜂狗,发呆,原图,很美,OK,钱塘江,家人,苏州",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7387021754293603603&dateCode=20240702&ts=1719989024&sign=e379b6fa2971ad6926bc9dd9b330def7,https://www.douyin.com/share/video/7387021754293603603/?mid=
我们视频,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=40440377&tab=&ts=1719989024&sign=edf01b126587d0eed4463b412f2f5e7e,dy6cvi8d7pjv,292364,男子驾车撞人后持刀追砍被撞者 镇政府：撞人者有精神疾病病史,2024/6/30 17:25:02,20秒,94.5,132984,49737,254309,13015,37562037,"精神病,开车,驾照,驾驶证,理由,还能,杀人,考驾照,精神病人,拿刀,正常人,被撞,吊销,撞了,暗中观察,危害,后续,情况,发生,撞死,砍死,杀人未遂,好了,有仇,伤人,有没有,还可以,追杀,刀砍,法律责任",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386224893257354507&dateCode=20240630&ts=1719989024&sign=cfb6ae324c86f309d62ddb6c1aefcd3e,https://www.douyin.com/share/video/7386224893257354507/?mid=
我是果千亿,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=32107868&tab=&ts=1719989024&sign=c405691af859c873c4cdbfacd96e6b06,guowen8888,130181,莫斯科北约武器展，今天很热，请大俄们喝可乐，因为他们说东西撤走了些，所以今天没开放展示#俄罗斯旅游,2024/7/1 21:46:27,29秒,94.5,659615,14155,62255,26806,25122419,"孩子,好帅,俄罗斯,感觉,看着,都是,年轻,世界和平,战争,士兵,喜欢,彭于晏,陌生人,帅哥,年纪,中国,战场,好像,希望,美女,的饮料,中国人,北约,样子,长得,腼腆,OK,好帅啊,好看,可乐",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386663306242690313&dateCode=20240701&ts=1719989024&sign=e99208ca39c467e40dece797f3dbf45a,https://www.douyin.com/share/video/7386663306242690313/?mid=
LG🙏高,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=8414632&tab=&ts=1719989024&sign=0b9b15e40cf3b06a9ffb89153676e592,LG347,21784,"多做力所能及的好事！ 当我在吃烤肉的时候，看见一个残疾小女生推着水出来卖，我就知道
我必须出手了，让他在烤肉摊旁边卖，号召大家支持一下#正能量",2024/6/29 22:05:01,57秒,94.5,560862,25765,64669,16014,17523987,"兄弟,承认,眉笔,努力,厉害,好人,完澡,的人,哥们,小子,感谢,彭于晏,看不得,善良,一生,平安,希望,吴彦祖,男人,能力,人间疾苦,你点赞,过得,给你,云南,点赞,还帅,我帅,最帅,力所能及",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385925943358999843&dateCode=20240629&ts=1719989024&sign=f8d73ed25fdf05d038c7f99fc45b0a3c,https://www.douyin.com/share/video/7385925943358999843/?mid=
鹅厂顶流剪辑师,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=7552741&tab=&ts=1719989024&sign=e5f7ef75c1be2ded868ac2fa91699ced,chaixiaoqi2021,174081,那英：这很难评！ #好想好想谈恋爱 #那英,2024/7/1 17:07:23,50秒,94.5,121343,12099,114058,3521,8135934,"笑死我了,那英,帮人,未遂,OK,笑死了,危言耸听,宕机,珊珊,英子,九转,大肠,表情,一句,我笑死,我以为,娜姐,给他,不吃,小女孩,小孩,感觉,电视剧,逆天,表情包,笑点,看着,有点像,大粪,认出来",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386591418350882058&dateCode=20240701&ts=1719989024&sign=996c39c89e26abd45d38464c0da8b489,https://www.douyin.com/share/video/7386591418350882058/?mid=
